Publish Time,Title,Position,Read Count,Like Count,View Count,Link
2024-06-19 21:26:00,当上中层才知道：上面的领导其实压根不在意你干了多少活，而是在意你到底值不值得他信任，预计真正能解决什么问题,1,100001,390,123,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487938&idx=1&sn=46b359de858cd781a513789aaf2ff600&chksm=ebe94523ede3d92c32e6313f900c696e194095ec07945ad33ee1d74ef7c3ca4fb2cd522beeca&scene=126&sessionid=0#rd
2024-06-05 21:05:00,单位里，越是没水平的领导，越爱干这几件事：1、总接别的部门推来的活；2、不懂瞎指挥；3、打压能力强的下属；4、下属不听话就威胁…,1,100001,318,135,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487803&idx=1&sn=38753c098c6548ef8475c38dea639620&chksm=eb9eb5a89819d1c018e73b6f1fc59a3f4847b4c48a18cbc6d4baa24adb83e2b0376300ee3755&scene=126&sessionid=0#rd
2024-05-11 21:10:00,单位里，有3个位置你永远不要站，你要是站了，工作就悬了：1、不要站在领导的对面；2、不要站在内讧的中间；3、不要站在功劳的后面,1,100001,154,46,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487224&idx=1&sn=680252401104597e6dc3b1a74bcaa466&chksm=ebb90bf7d98d690a780e46d6d36b0291f7f106252df6c9c49fd9575111132dd4fb2ceb02604d&scene=126&sessionid=0#rd
2024-04-24 20:38:00,单位里，请记住：只要你的工资每月按时发放，岗位没有动，待遇没有减，就不要太在意其他人，该上班上班，把他们当路人，你就赢了,1,100001,585,191,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486962&idx=1&sn=f4bfebc9ea8cc6ca19f024737071a733&chksm=eb9e6053e9d79965b69e599aeb4a63b1f8abf0953b2e7190b78f463609eba0aff0d49d3fdd35&scene=126&sessionid=0#rd
2024-04-18 21:51:00,单位里，对领导最狠的报复，就是这2个字,1,100001,173,52,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486888&idx=1&sn=a99d70de99fad2677cc7d18c7db865ad&chksm=eb8ea543f54431ab374944a284e53085c0939b4731fd4d1cda25ec605532df8057f75f2b8b05&scene=126&sessionid=0#rd
2024-04-13 20:28:00,判断领导是不是小人，看这4点就够了，真的太准了,1,100001,367,227,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486826&idx=1&sn=636f4a56fe1004e9e1acb3c389b6eb3d&chksm=eb56625f941e1378c358e39b64fc7a2e56c77a0ae0512bdc2f92f7c961b33f9ecd6ebad5b1fa&scene=126&sessionid=0#rd
2024-04-06 20:23:00,单位里，同事随口喊你“小张小李”，千万别傻傻答应，也不要听从，更不要默许，一定要小心，这里有个大坑,1,100001,215,60,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486687&idx=1&sn=5d98d719ce0c7a94cef162c3096d5735&chksm=ebfe29a52a7daf7c8e169a9d9ee701cd6c920683fc5cd61c9a7e5828b9414e02ca1ec6e4126e&scene=126&sessionid=0#rd
2024-04-04 20:45:00,单位里，活得最通透的人：1、准时上下班；2、不和同事交心；3、不敬怕领导；4、少管闲事，少说闲话；5、只做投资自己的事,1,100001,182,73,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486661&idx=1&sn=0f576cbd19a3337c074436f5e79bd2d4&chksm=eb68c19d34cd8bde5275e691844584cdb12c21ed5b10ec13c21d35d81fb38533bde48239db2c&scene=126&sessionid=0#rd
2024-04-01 21:36:00,单位里，最好的人际关系：1、少说闲话，知人不评；2、不占便宜，有来有往；3、常听人言，知人心声；4、交浅言浅，保持边界,1,100001,313,123,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486629&idx=1&sn=cc3742e33687eb7729d3389c8d9c9d45&chksm=eb4729e3ea38f833ea43ebc55cbd98500b82e58c7613a87a67cc40efd8f1fd4480956ab8f53e&scene=126&sessionid=0#rd
2024-03-30 20:28:00,在单位，永远要记住：1、别人的工作不插手；2、不和同事明面上闹红脸；3、不暴露自己太多私事；4、不背后说领导坏话,1,100001,191,70,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486582&idx=1&sn=fcd2369c755a997f0099dfe7cd5af158&chksm=eb1cc2553057135b8a58ad37422211e473d27e5ebc69433aed94bfbfdd94b7b9e1b87c9f2fd0&scene=126&sessionid=0#rd
2024-03-28 21:33:00,在单位，无论你有多怂，这4件事上，一定要学会心狠：1、争取机会的时候；2、同事甩锅的时候；3、表功的时候；4、被边缘化的时候,1,100001,223,78,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486559&idx=1&sn=5d95f3eecb8fa8ae32f69361379c6d6a&chksm=eb3257eaa78639e208caba64004a1fa15a3e5c194c41508dc21fb22138b2de84d143cedc5619&scene=126&sessionid=0#rd
2024-03-27 20:02:00,单位里，这5种女人千万不能得罪：1、领导身边的女人；2、能干的女人；3、有实权的女人；4、漂亮的女人；5、爱玩暧昧的女人,1,100001,214,98,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486548&idx=1&sn=20ff4a34a01f5034ce60c23ae0c36f7a&chksm=eb01f9aedc99998e3cf963a5822260e8f1b3bd9ee6d742b1f8f69ec4aa8d73f040c6699c10f4&scene=126&sessionid=0#rd
2024-03-24 19:10:00,单位里，吃过大亏的人才懂得：1、少管闲事，少说闲话；2、领导的话别全信；3、同事不能当朋友；4、控制自己的脾气；5、该争取时别怂,1,100001,357,131,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486510&idx=1&sn=6627449a81c4cf77ecdee2afa9594164&chksm=eb63e9ae0bb7035dfa3fa58eae698a9b51dfc98731d2101896549cf1f09f5f27251fb808209b&scene=126&sessionid=0#rd
2024-03-23 21:25:00,单位里，想要快速提拔，必须要懂的人情世故：1、不害怕领导；2、不对同事交心；3、该争取的不要怂；4、不说别人闲话；5、懂感恩,1,100001,124,52,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486499&idx=1&sn=82f37455b10c471639a41cb20e6ea061&chksm=eb8ff22cb8f9a71d22e912ac236cf3863c3b95460ce787a665b8f36102fc632d3923a761585b&scene=126&sessionid=0#rd
2024-03-22 21:49:00,单位里，有觉悟的人：1.不迟到，不早退；2.不抢领导风头；3.不说别人闲话；4.不暴露太多私事；5.只做投资自己的事,1,100001,256,79,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486485&idx=1&sn=070841cdcbac953a15dfd85e8236c279&chksm=eb27c6a00b34c8d3ed9cfd305f183675a9a8cc0aeebee406450b6dda2de29aa13253911c2b84&scene=126&sessionid=0#rd
2024-03-21 21:10:00,当你没什么能力，领导还护着你，一般是因为这6个原因,1,100001,174,59,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486474&idx=1&sn=2423bc606d89065b5801ddf1a17ddb32&chksm=eb6ce4e1787be675b3c1cb4ce86a39921343754d2fc888d1d80542ba4dea59709c1fb54e8122&scene=126&sessionid=0#rd
2024-03-16 20:38:00,在单位，想干掉一个不喜欢的同事，最狠的方式不是孤立他，更不是撕破脸，而是让他看到你越过越好,1,100001,582,212,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486399&idx=1&sn=bcf4b16b9ef334ca938402aaf3723e44&chksm=eb01d10de42c784c92d7267a622b601f30b356bf6003e5024b9a06f50c02ffeee318942ef3b7&scene=126&sessionid=0#rd
2024-03-15 19:58:00,让领导不敢干掉你的8个方法,1,100001,112,44,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486385&idx=1&sn=66e12187807cfc24fe4d55d321d3d137&chksm=eb021a8d600b4466476329909b39a10ca91ebb31f099f569eb4690b2618a08fa54f92a49c8db&scene=126&sessionid=0#rd
2024-03-14 20:34:00,单位里，没人告诉你的人情世故：1、干活别太快；2、做事要留痕；3、不要掺合别人的工作；4、不要暴露太多技能；5、做好上级汇报,1,100001,241,95,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486376&idx=1&sn=d7432249aa6ba0c79b2b5fd725230ddc&chksm=ebdd9420b3bd6516b426ad3152fe083c52489c24f5d6a8ae11c376a9ebbde6cbdc89b4cc8160&scene=126&sessionid=0#rd
2024-03-13 20:40:00,在单位里，我见过最愚蠢的四件事：1、把同事混成朋友；2、对领导敬而远之；3、掺和同事的工作；4、反复提自己犯的错,1,100001,145,56,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486284&idx=1&sn=168257a818cbd479911f0e1d7eda5111&chksm=ebad7b08da6fde36520c7f11fa0a28a651d66fd9b0af766ed9f79e0d2d2b1e9a00c8ae828660&scene=126&sessionid=0#rd
2024-03-10 19:52:00,观察单位里“从不内耗”的人，都有一个共同特点：无论领导告诉他们应该怎么样，但这些人永远清楚自己要什么，该舍弃什么,1,100001,191,42,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486242&idx=1&sn=d01e697c0b8149dfe6d1dd9bcbf1f294&chksm=ebf32b329f30d308dc1009a3012f465e853cc46b7709afebac19a3c1235b52536c212c23f20a&scene=126&sessionid=0#rd
2024-03-07 20:58:00,有以下5个特征，说明你的领导是小人，别再傻傻跟随了！,1,100001,347,148,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486217&idx=1&sn=1a56fe8582bda9f82184ae06c35319b7&chksm=eb279a9e1f88610d31dd4f9da1f080542b64146143d628fbb039b1189cff2c4c070ff498e8ef&scene=126&sessionid=0#rd
2024-03-02 20:32:02,永远不要当领导的面，随便说出这4句话,1,100001,93,50,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486104&idx=1&sn=1c17eb2e39655e10dca725e95239ef84&chksm=ebb9f08ed1bdc9326c5982de230fc58833c9c1dcb8229846ff5e877ea8104ec7fbb55b067450&scene=0&xtrack=1#rd
2024-03-01 19:16:00,永远不要当同事的面，随便说出这6句话,1,100001,106,42,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486087&idx=1&sn=41e7c15e9d973149ded4347987347f69&chksm=eb86a9ada7c1b28d37cb09743da8ddc90a4edefeecb5ee1e2ba410b60799ad5ca6fdcb4bdd1b&scene=0&xtrack=1#rd
2024-02-28 22:22:00,在单位，干掉不喜欢的同事，这5招就够了！,1,100001,124,39,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486063&idx=1&sn=3e6ccba8134e259cdafd49e0df0a79ef&chksm=eb6878d6d243709c36e4edd235ee48b6ac933097ec3cb72f4c290658d8b31a1cf7a3fabeaa32&scene=126&sessionid=0#rd
2024-02-25 19:39:00,单位里，只要没开除你，你就没心没肺，该上班就上班，该做事做事，千万别冲动，提前做好这些,1,100001,382,183,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486037&idx=1&sn=b2045e7d608d4eed70b794959bbb4a39&chksm=eb311c14d4aae907f084f53af20a77720f564813b7197a1e0123ee5f9c1689baa32de2169e1e&scene=126&sessionid=0#rd
2024-02-24 19:19:00,当别人问你工资多少时，高情商的人这样回答，既不得罪人，也不尴尬！,1,100001,94,42,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486024&idx=1&sn=81b299a609327d0031f6fd704434431d&chksm=eb1329059889b42ea4f1524fbfc557c1113a9093a3cc5c7b3bf197d42558727a1a13351f615e&scene=126&sessionid=0#rd
2024-02-21 21:50:00,单位里，领导决定放弃你，不会给你穿小鞋，也不会让你天天加班，更不会找你谈话，而是偷偷做这4件事,1,100001,258,91,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485993&idx=1&sn=b6d11981ee1c25bfa9fc6aa07a7771ab&chksm=eb63d06ab623e0d8ae06c31b9c3a026065fbd563d865c63f6cf618eccf862b04296b2dfbd00e&scene=126&sessionid=0#rd
2024-02-20 21:12:37,单位里，不要同情压力大的领导，也不要同情天天加班的同事，因为你同情他们，就等于自动背负他的工作，真的很傻,1,100001,378,117,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485978&idx=1&sn=767cd72f73b13f2d9b4963d2649a337f&chksm=ebc29b64a2b46317e897167cd4d934984577a0d6769561eeda439e5d7c8d74e4161c6d0868c2&scene=126&sessionid=0#rd
2024-02-14 19:00:00,"领导最想裁掉的员工，不是""上班永远迟到”的你，也不是""下班后不看微信""的你，而是天天说这5句话的你",1,100001,202,87,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485912&idx=1&sn=c6d23c7989e2bbfa6fa0079d45339cf3&chksm=eb92455927a8d43429b232c5621c9f58925d6794935367ebc8a6a3217ff86c4590bfe43131b3&scene=126&sessionid=0#rd
2024-02-13 19:16:00,大过年的，为什么别人都不主动联系你？7句话道出人性，太现实了！,1,100001,539,242,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485902&idx=1&sn=3867907ca491b2175e87e500822f9e27&chksm=eb6436d2452148be549db876a8096c4d25e69f18cc4869563f73a8bbfa2da995809690e342ea&scene=126&sessionid=0#rd
2024-02-06 20:14:00,让领导舒服死的拜年专用短信话术,1,100001,1619,1217,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485804&idx=1&sn=1b2dd589b162731e1bc787c20f72e0b1&chksm=eb45526bad3eecf5cb47325484cba0667b3de5f443744f9e13109e37cf6a4149c6d1f089dde2&scene=126&sessionid=0#rd
2024-02-04 19:38:00,为什么领导都不容易生病？说出理由后，网友：受教了,1,100001,602,248,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485782&idx=1&sn=a35aa41ebe893b0b1e35d3338be6f8dc&chksm=eb75ba43e6bdef19a7dc133f4ed54ce231d30575c5d84a770fd6de3a4e9f608b395d1e0b7606&scene=126&sessionid=0#rd
2024-01-27 19:47:00,给领导发拜年短信，老实人发“新年快乐”被冷落，高情商的人这么发,1,100001,1613,997,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485682&idx=1&sn=6946485bc0bffbfb6f4f18c0a53627fd&chksm=eb0bd335fd7a7bf504d8d6845a9903fd7b40c57608be0458fa5343983d42de308380ddc161db&scene=126&sessionid=0#rd
2024-01-26 19:59:00,在单位，想搞定一个女同事非常简单，记住这8个字就够了！,1,100001,111,44,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485667&idx=1&sn=2dd7e343836b78601a2bb08a482e57fa&chksm=ebccc4263560a5eaf12f2b276cf47d7e7f7167e648070720fbc9b32b4184eda3aa7661b24dd9&scene=126&sessionid=0#rd
2024-01-23 19:48:00,单位里，有4样东西，永远不要交给领导，否则他一定会把你用废！,1,100001,128,48,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485624&idx=1&sn=78a1ecb879c8a8d980320365080351aa&chksm=ebdf95d1d1a7547fc259088ae4bf879394005c9a9f82a6e09ce1c1657e7eb734bdf6964e0ec4&scene=126&sessionid=0#rd
2024-01-20 19:00:00,单位里，永远不要说出这2个字！,1,100001,74,33,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485582&idx=1&sn=e2e50a795222b53baddf782f6955e047&chksm=eb8df3a507cb0c17d96eeee0d6dc50a2ebc5feb24683466c3cb68142b3b11d1f4ca82a5256ca&scene=126&sessionid=0#rd
2024-01-14 19:13:00,在单位，干掉不喜欢的同事，这5招就够了！,1,100001,145,57,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485479&idx=1&sn=31c4a60b2e951d8b8cb0a330016d463e&chksm=ebeeadc65b96084cd5bf150dde81c6b5398d2d35ca1a343e9e20fc59267fc7ec0b83c5e85fd3&scene=126&sessionid=0#rd
2024-01-11 19:00:00,真正对你好的领导，就这4个字！,1,100001,180,86,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485437&idx=1&sn=6a88f594fb3efb4a1c3f925af3b3a821&chksm=eb21b7c516abb5113de1013a8e2062bcf11b0dec486576db69a8660cf4e97b33f5c9c615ebbd&scene=126&sessionid=0#rd
2024-01-08 19:48:00,判断一个人有没有领导力，看这1点就够了,1,100001,116,57,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485391&idx=1&sn=3ae699a3823d1ea5a00d4e5513eb5117&chksm=eb16229723632fd5c37e8973c67daab4a6a699571799362804252047872d9866a88d7c1ba74c&scene=126&sessionid=0#rd
2023-12-30 21:17:00,有7件事，永远不要向领导汇报,1,100001,100,45,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485251&idx=1&sn=24fd85039a8d5c93f004b4fa4aaf87ee&chksm=eb557e9d064a301100726b300233403bf4f047fc378a109e6016ebba44558bb2d5f8b2a62342&scene=126&sessionid=0#rd
2024-05-15 19:00:00,单位里，要假装不知道的4件事：1、被同事孤立；2、同事间勾心斗角；3、同事向领导打你小报告；4、领导私下叫你办的事,1,94147,196,55,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487341&idx=1&sn=2f5dd0c9d1bca6ca8a920a8fde2c8afc&chksm=eb603d4418028c3ae4b1b37294a8138cc6f084b06cb70c6fe749c8df2918a385c9b68bcee50a&scene=126&sessionid=0#rd
2024-01-13 19:00:00,领导最烦的3种员工，工作再努力，也不会提拔,1,88108,57,27,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485468&idx=1&sn=90f267246212751f08c1aa489671e8fb&chksm=eb94d6dd09a5f8df7d18a78363449ed236b3c9888c5797727cafec78e7b1f150e49fa05209b9&scene=126&sessionid=0#rd
2024-05-16 21:23:57,在单位里，当你越来越优秀，成果突出，话语权就强了；渐渐地，你会发现，那些你不喜欢的同事小人，能对你产生的影响也会越来越小,1,88075,140,44,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487352&idx=1&sn=dd05fc6f780e0faa4f95b8fa2d21001d&chksm=ebb9714a2036a451fe51d5e3fa058999b5dc27099578d2ef48b4ee5630998a951b4f080f8804&scene=126&sessionid=0#rd
2024-03-20 21:22:00,单位里，一定要记住：1、领导不安排的，一概不做；2、别把同事当朋友；3、别把工作当全部；4、打工目的是跳槽，或提前退休,1,87466,160,47,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486462&idx=1&sn=a5b68a45cd1f30e21fafc532ba65c05c&chksm=eb13f47444b666bdfceeb76f18365e3befa2671e82d37f96d86e6cedcc7d1765ed6d6c0c4583&scene=126&sessionid=0#rd
2024-03-31 19:59:00,在单位，最得罪人的5个表现：1、直肠子，说话不过脑子；2、喜欢占同事便宜；3、背后说人闲话；4、贬低别人的成就；5、好为人师,1,86045,86,30,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486593&idx=1&sn=cf1cfe8d53d7aaabd8af7316a4f9e1b1&chksm=eb628968d4eff19747316d61a48edc46da28d78a15a94cbec4fe1a5ed7eecbcf7929d6c9bc61&scene=126&sessionid=0#rd
2024-02-27 19:00:00,发现领导不喜欢你，不要去讨好，只须做好这5点,1,84012,100,38,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486058&idx=1&sn=12420e0fe3e85ae6500995756a5377f2&chksm=ebf0f25677c38fbe6ae0c40575e5f50b237d8f84ac6d73c5d784f2b5f0bdadaa84aa3ac380ce&scene=126&sessionid=0#rd
2024-04-09 21:10:00,单位里想提拔快，除了主要领导，不要轻易得罪五个人：1、班子成员；2、领导的亲信；3、提拔快的人；4、人缘好的人；5、HR负责人,1,83289,54,20,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486744&idx=1&sn=fa873b9bd132a54b285612c10fa609ef&chksm=eba69961533cf5c854714837c03d1dc92cdc9f90eb384d3d2fa23ef7b4354e1132da39065e34&scene=126&sessionid=0#rd
2024-02-22 22:06:00,单位里，没关系没背景，不用巴结领导，也不用讨好同事，记住这2个字，也能过得很好,1,83113,101,29,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247486004&idx=1&sn=f106e0cc4c960ba93f2bcdcf31d9aa84&chksm=eb764bf9906cabb50b54cefb6c7ff4c7ee89e17a277c79c8f770a8cb906845efd2fbcc96becb&scene=126&sessionid=0#rd
2024-04-28 21:10:00,领导明确不提拔你，还让你负责重要工作，无非这4点原因,1,79910,150,56,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487017&idx=1&sn=b6408df393b95298b17562311ae4465b&chksm=eb8a5a09c3ef1b496488dd2789b3c46ab1439631395c14763de0b9aa568943c39eeb85c3573b&scene=126&sessionid=0#rd
2024-05-02 21:06:00,领导最讨厌的7种称呼，情商越低的人越喜欢叫！,1,77890,49,20,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247487088&idx=1&sn=976e8adaca94619a8d05943bc19ea5bf&chksm=ebfb9d35fd31a2705e7d91fb55da13779e56771bc16ada4fdcf10a444c33366b4b2cace10c4d&scene=126&sessionid=0#rd
2024-02-17 20:37:59,退休领导酒后吐真言：想要被重用，能力是其次，这3点很重要,1,77561,95,46,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485944&idx=1&sn=2a0f8b050fd2b469b83fc7f2ba8d4d13&chksm=eb219d5b053bf3c471d774cd711be5da07360bfe4aa1fbbba1a15f715590f2d3a0ea301b5f50&scene=126&sessionid=0#rd
2024-02-05 19:12:00,出现这7个迹象，说明领导已经当心腹一样信任你，别傻傻不知道！,1,77398,79,20,http://mp.weixin.qq.com/s?__biz=MzI2NDY1MDU3OA==&mid=2247485793&idx=1&sn=d737f21dba22853f3fcbe05f5576faca&chksm=eb983455b72ab73c638964bca9b6934f79eddd098131cb804bbefd21e68c36059713d4e9bcdc&scene=126&sessionid=0#rd
